What is the name of the dog you would like to submit a response for?,How long were you thinking about adding a new dog to the family  before you brought {{field:dog_name}} home?,What was your primary motivation for getting {{field:dog_name}}?,Where did you acquire {{field:dog_name}} from?,Please select the characteristic you found most important when choosing {{field:dog_name}}.,"Your number 1 choice is {{field:char_1_1}}.
What was the next most important characteristic?","Your rankings so far:
1. {{field:char_1_1}}
2. {{field:char_1_2}}
What was the next most important characteristic?","Your rankings so far:
1. {{field:char_1_1}}
2. {{field:char_1_2}}
3. {{field:char_1_3}}
What was the next most important characteristic?","Your rankings so far:
1. {{field:char_1_1}}
2. {{field:char_1_2}}
3. {{field:char_1_3}}
4. {{field:char_1_4}}
What was the next most important characteristic?","Your rankings so far:
1. {{field:char_1_1}}
2. {{field:char_1_2}}
3. {{field:char_1_3}}
4. {{field:char_1_4}}
5. {{field:char_1_5}}
What was the next most important characteristic?",Were your primary relationship expectations met?,Do you still live with {{field:dog_name}}?,How long did you and {{field:dog_name}} live together?,Where is {{field:dog_name}} now?,Would you like to enter information for another dog you own(ed)?,Would you ever consider bringing another dog into your life?,Please select the characteristic you find most important from the list.,"Your number 1 choice is {{field:char_2_1}}.
What is next most important characteristic?","Your rankings so far:
1. {{field:char_2_1}}
2. {{field:char_2_2}}
What is next most important characteristic?","Your rankings so far:
1. {{field:char_2_1}}
2. {{field:char_2_2}}
3. {{field:char_2_3}}
What is next most important characteristic?","Your rankings so far:
1. {{field:char_2_1}}
2. {{field:char_2_2}}
3. {{field:char_2_3}}
4. {{field:char_2_4}}
What is next most important characteristic?","Your rankings so far:
1. {{field:char_2_1}}
2. {{field:char_2_2}}
3. {{field:char_2_3}}
4. {{field:char_2_4}}
5. {{field:char_2_5}}
What is next most important characteristic?","If you were to bring another dog into your life, where are you likely to get that dog?",id,msg,list,sep,Submitted At,Token
Louie,6+ years,Companionship and affection,Breeder,Breed,Size,Age,Individual personality/behavior,Trainability,Appearance,"Partially, I accepted the dog and made it work",True,,,True,,,,,,,,,77da5c17343c5e84f2216d9f475d692a,,, ,2/13/2020 5:54:49,i1qfw8wpc9jkvax1og1i1qfw826hvp5j
Kika,6+ months - 6 years,"Exercise, adventure partner",Shelter/Rescue,Individual personality/behavior,Breed,Trainability,Compatability with other pets in the home,Size,Age,Yes,True,,,True,,,,,,,,,77da5c17343c5e84f2216d9f475d692a,We have submissions for:,,", ",2/13/2020 5:58:07,5vyg3rb2rn0166bt15vyg3rl2ok761qj
Penny Lane,1 week - 6 months,Companion for another dog or pet,Breeder,Compatability with other pets in the home,Breed,Size,Age,Trainability,Individual personality/behavior,"Partially, I accepted the dog and made it work",False,6+ months - 6 years,Euthanized,False,True,Individual personality/behavior,Trainability,Compatability with other pets in the home,Breed,Size,Age,Shelter/Rescue,77da5c17343c5e84f2216d9f475d692a,We have submissions for:,,", ",2/13/2020 6:01:15,2m8reisvgwuctutdk2m8reish5qye00t
Molly Brown,1 week - 6 months,I had a 14 year old dog and thought that a younger dog would make her live longer and the one year old dog could learn from the older dog while she was still alive,Shelter/Rescue,Age,Size,Breed,Individual personality/behavior,Compatability with other pets in the home,Appearance,Yes,True,,,False,False,,,,,,,,88ad474ddaad7c505d91bdd2cfbbe569,,, ,2/13/2020 16:36:11,z1xt1pziy5cgzu5xki10z1xt1pzghdmg
QUIGLEY,6+ months - 6 years,Companionship and affection,Shelter/Rescue,Appearance,Individual personality/behavior,Age,Size,Trainability,Breed,"Partially, I accepted the dog and made it work",True,,,False,True,Individual personality/behavior,Appearance,Age,Trainability,Size,Compatability with other pets in the home,Shelter/Rescue,5876aa954f5ae0f95b6896fcc54bcfc9,,, ,2/13/2020 16:39:57,xcn29ccw32hjsrs81kkhxcn21dck3yhl
Penny,6+ months - 6 years,Companionship and affection,Shelter/Rescue,Size,Age,Breed,Individual personality/behavior,Compatability with other pets in the home,Trainability,Yes,True,,,False,True,Compatability with other pets in the home,Size,Trainability,Age,Individual personality/behavior,Breed,Shelter/Rescue,70f283ebb1011a4f4ffbce958e9ec935,,, ,2/13/2020 18:17:17,hbypmu6l8q1rqdsagng3kz6hbypmgpnx
Lusa,6+ months - 6 years,Companionship and affection,Shelter/Rescue,Appearance,Breed,Size,Age,Trainability,Individual personality/behavior,Yes,True,,,False,True,Compatability with other pets in the home,Trainability,Individual personality/behavior,Size,Appearance,Age,Shelter/Rescue,03532c1e79d357c34bd789d2473187f1,,, ,2/13/2020 20:06:06,8a9qrxzvakx65zv8a9q5k8edydc5wt1f
Reilly,6+ months - 6 years,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Size,Appearance,Trainability,Compatability with other pets in the home,Age,Yes,True,,,False,True,Breed,Trainability,Compatability with other pets in the home,Individual personality/behavior,Size,Appearance,Shelter/Rescue,c85356f3296c91fd6943d4332f2c73f6,,, ,2/13/2020 20:06:17,m6dy7i1spabkjpmjm6dy6lr00adeslj9
Valentino,6+ months - 6 years,Companionship and affection,Breeder,Breed,Individual personality/behavior,Compatability with other pets in the home,Appearance,Trainability,Appearance,Yes,True,,,False,True,Compatability with other pets in the home,Breed,Individual personality/behavior,Trainability,Appearance,Age,Breeder,592339b28554fd6106e79469f24f64d9,,, ,2/13/2020 20:06:15,ayqghhzdja4mqo6jzraayqghhitev7w5
Alexander,1 week - 6 months,Working or sporting,Breeder,Appearance,Breed,Individual personality/behavior,Compatability with other pets in the home,Trainability,Size,Yes,True,,,True,,,,,,,,,c5629e7bbd4a81525968af0b1e69abda,,, ,2/13/2020 20:06:14,lqtp7xk6jkm0pt0phjq29b53lqtp7xkl
