Participant,Live_With,Another_Dog,Consider_Getting_Another_Dog,MostImp1_Rec,MostImp2_Rec,MostImp3_Rec,MostImp4_Rec,MostImp5_Rec,MostImp6_Rec,MostImpT2_1_Rec,MostImpT2_2_Rec,MostImpT2_3_Rec,MostImpT2_4_Rec,MostImpT2_5_Rec,MostImpT2_6_Rec,Where_Purchased_Rec,ExpectationsMet_YesNo,ExpectationsMet_Rec,Time_Thinking_Rec,Where_Dog_Is_Now_Rec,Live_With_Time_Rec,Where_Would_You_Purchase_Rec,First,Second,Third,Fourth,Fifth,Sixth,Shelter,Breeder,Yes,appearance,breed,size,age,personality,trainability,compatibility,rank_sum
P1137,0,0,1,1,6,2,7,4,5,6,1,5,4,2,7,7,1,2,1,2,4,7,0,0,0,0,1,0,0,0,0,1,3,7,5,6,2,4,28
P301,1,1,#NULL!,1,6,5,4,7,2,8,8,8,8,8,8,7,1,2,2,11,5,8,0,0,0,0,1,0,0,0,0,1,6,7,4,3,2,5,28
P1574,1,1,#NULL!,1,5,4,6,2,3,8,8,8,8,8,8,7,1,2,2,11,5,8,0,0,0,0,1,0,0,0,0,1,5,6,3,2,4,7,28
P951,1,0,1,1,5,6,7,2,3,4,5,7,6,1,2,7,1,2,2,11,5,7,0,0,0,0,1,0,0,0,0,1,5,6,7,2,3,4,28
P167,1,0,1,1,2,4,7,5,6,3,6,7,5,4,1,7,1,2,4,11,5,2,0,0,0,0,1,0,0,0,0,1,2,7,3,5,6,4,28
P31,1,0,1,1,4,3,6,5,2,2,3,6,5,4,1,7,4,3,4,11,5,7,0,0,0,0,1,0,0,0,0,1,6,3,2,5,4,7,28
P121,1,0,1,1,5,2,7,4,5,5,7,4,3,1,6,7,4,3,1,11,5,2,0,0,0,0,1,0,0,0,0,1,3,7,5,6,0,4,26
P1492,1,0,1,1,5,4,6,7,2,5,4,7,1,6,2,7,4,3,4,11,5,7,0,0,0,0,1,0,0,0,0,1,6,7,3,2,4,5,28
P737,1,0,1,1,3,4,2,6,5,5,7,4,3,6,2,3,4,3,3,11,5,7,0,0,0,0,1,0,0,0,0,1,4,2,3,6,5,7,28
P139,1,1,#NULL!,1,2,6,7,4,3,8,8,8,8,8,8,7,4,4,1,11,5,8,0,0,0,0,1,0,0,0,0,1,2,6,5,7,3,4,28
P1027,1,1,#NULL!,1,3,5,4,7,6,8,8,8,8,8,8,7,4,4,1,11,5,8,0,0,0,0,1,0,0,0,0,1,7,2,4,3,6,5,28
P217,1,0,0,1,5,4,6,7,3,8,8,8,8,8,8,7,4,4,1,11,5,8,0,0,0,0,1,0,0,0,0,1,7,6,3,2,4,5,28
P1704,0,0,0,1,5,6,2,4,7,8,8,8,8,8,8,3,4,4,1,5,3,8,0,0,0,0,1,0,0,0,0,1,4,7,5,2,3,6,28
P203,1,0,1,1,4,2,3,5,6,4,1,5,3,6,2,7,4,4,1,11,5,7,0,0,0,0,1,0,0,0,0,1,3,4,2,5,6,7,28
P228,1,0,1,1,3,5,4,7,2,4,5,1,5,6,1,2,4,4,1,11,5,2,0,0,0,0,1,0,0,0,0,1,6,2,4,3,7,5,28
P496,1,0,1,1,3,5,2,6,7,3,6,4,5,2,1,3,4,4,1,11,5,2,0,0,0,0,1,0,0,0,0,1,4,2,7,3,5,6,28
P579,1,0,1,1,3,6,2,5,4,6,1,5,7,2,3,7,4,4,2,11,5,7,0,0,0,0,1,0,0,0,0,1,4,2,6,5,3,7,28
P715,1,0,1,1,3,6,4,5,7,5,3,1,7,2,6,3,4,4,2,11,5,2,0,0,0,0,1,0,0,0,0,1,7,2,4,5,3,6,28
P782,1,0,1,1,5,2,6,3,4,1,3,4,2,5,6,5,4,4,1,11,5,7,0,0,0,0,1,0,0,0,0,1,3,5,6,2,4,7,28
P846,1,0,1,1,4,5,7,6,3,7,4,5,6,1,2,7,4,4,2,11,5,7,0,0,0,0,1,0,0,0,0,1,7,6,2,3,5,4,28
P1417,1,0,1,1,5,6,2,3,4,1,6,5,2,4,3,5,4,4,4,11,5,7,0,0,0,0,1,0,0,0,0,1,4,5,6,2,3,7,28
P199,1,1,#NULL!,1,3,4,2,5,7,8,8,8,8,8,8,7,4,4,1,11,5,8,0,0,0,0,1,0,0,0,0,1,4,2,3,5,7,6,28
P235,1,1,#NULL!,1,6,5,2,4,7,8,8,8,8,8,8,7,4,4,1,11,5,8,0,0,0,0,1,0,0,0,0,1,4,7,5,3,2,6,28
P372,1,1,#NULL!,1,6,5,2,7,3,8,8,8,8,8,8,7,4,4,1,11,5,8,0,0,0,0,1,0,0,0,0,1,4,6,7,3,2,5,28
P451,1,1,#NULL!,1,6,3,2,5,7,8,8,8,8,8,8,6,4,4,1,11,5,8,0,0,0,0,1,0,0,0,0,1,4,3,7,5,2,6,28
P492,1,1,#NULL!,1,2,4,3,5,7,8,8,8,8,8,8,7,4,4,1,11,5,8,0,0,0,0,1,0,0,0,0,1,2,4,3,5,7,6,28
P878,1,1,#NULL!,1,5,3,2,4,7,8,8,8,8,8,8,4,4,4,4,11,5,8,0,0,0,0,1,0,0,0,0,1,4,3,5,2,7,6,28
P909,0,1,#NULL!,1,6,5,7,3,4,8,8,8,8,8,8,7,4,4,2,5,3,8,0,0,0,0,1,0,0,0,0,1,7,5,6,3,2,4,28
P918,1,1,#NULL!,1,6,4,5,2,7,8,8,8,8,8,8,7,4,4,1,11,5,8,0,0,0,0,1,0,0,0,0,1,5,7,3,4,2,6,28
P1072,1,1,#NULL!,1,6,5,2,5,7,8,8,8,8,8,8,7,4,4,1,11,5,8,0,0,0,0,1,0,0,0,0,1,4,7,0,5,2,6,25
P1168,1,1,#NULL!,1,2,6,5,7,3,8,8,8,8,8,8,7,4,4,4,11,5,8,0,0,0,0,1,0,0,0,0,1,2,6,7,4,3,5,28
P1575,1,1,#NULL!,1,5,2,4,6,3,8,8,8,8,8,8,7,4,4,2,11,5,8,0,0,0,0,1,0,0,0,0,1,3,6,4,2,5,7,28
P1591,1,1,#NULL!,1,4,2,3,5,6,8,8,8,8,8,8,7,4,4,2,11,5,8,0,0,0,0,1,0,0,0,0,1,3,4,2,5,6,7,28
P1546,1,0,0,1,3,6,2,5,7,8,8,8,8,8,8,6,4,4,2,11,5,8,0,0,0,0,1,0,0,0,0,1,4,2,7,5,3,6,28
P44,1,0,1,1,3,6,7,5,2,5,4,7,6,2,1,2,4,4,4,11,5,7,0,0,0,0,1,0,0,0,0,1,6,2,7,5,3,4,28
